x,y,z
7.113989880000000121e+05,3.082367559999999939e+05,9.605800000000000693e+01
7.114188950000000186e+05,3.082470900000000256e+05,9.243800000000000239e+01
7.114249120000000112e+05,3.082635819999999949e+05,9.245799999999999841e+01
7.114056779999999562e+05,3.082435380000000005e+05,9.500100000000000477e+01
7.114095409999999683e+05,3.082275650000000023e+05,9.237099999999999511e+01
7.114325089999999618e+05,3.082596790000000037e+05,9.096300000000000807e+01
7.114146859999999870e+05,3.082528190000000177e+05,9.376800000000000068e+01
7.114217650000000140e+05,3.082555219999999972e+05,9.236899999999999977e+01
7.113945030000000261e+05,3.082322889999999898e+05,9.694400000000000261e+01
7.114365609999999870e+05,3.082735850000000210e+05,9.135699999999999932e+01
7.114073710000000428e+05,3.082337229999999981e+05,9.336299999999999955e+01
7.114244610000000102e+05,3.082594000000000233e+05,9.219700000000000273e+01
7.114456949999999488e+05,3.082794720000000088e+05,9.006199999999999761e+01
7.114132900000000373e+05,3.082399529999999795e+05,9.285699999999999932e+01
7.114291589999999851e+05,3.082669859999999753e+05,9.181400000000000716e+01
7.114187789999999804e+05,3.082313229999999749e+05,9.086299999999999955e+01
7.114093000000000466e+05,3.082347150000000256e+05,9.304600000000000648e+01
7.114165899999999674e+05,3.082502710000000079e+05,9.301399999999999579e+01
7.114333739999999525e+05,3.082757719999999972e+05,9.193999999999999773e+01
7.114196330000000307e+05,3.082664029999999912e+05,9.383200000000000784e+01
7.114181480000000447e+05,3.082621230000000214e+05,9.369899999999999807e+01
7.114086920000000391e+05,3.082428560000000289e+05,9.413599999999999568e+01
7.114155600000000559e+05,3.082360609999999870e+05,9.218999999999999773e+01
7.114253510000000242e+05,3.082645729999999749e+05,9.244899999999999807e+01
7.114184379999999655e+05,3.082561290000000154e+05,9.317499999999999716e+01
7.114098950000000186e+05,3.082106869999999763e+05,9.128799999999999670e+01
7.114191959999999963e+05,3.082538140000000130e+05,9.286100000000000421e+01
7.114367020000000484e+05,3.082685030000000261e+05,9.079800000000000182e+01
7.114134570000000531e+05,3.082422889999999898e+05,9.300400000000000489e+01
7.114140300000000279e+05,3.082547860000000219e+05,9.396900000000000830e+01
7.114064620000000577e+05,3.082361199999999953e+05,9.381499999999999773e+01
7.114093379999999888e+05,3.082551820000000298e+05,9.507999999999999829e+01
7.114095749999999534e+05,3.082461419999999925e+05,9.432300000000000750e+01
7.114008090000000084e+05,3.082410100000000093e+05,9.592499999999999716e+01
7.114061419999999925e+05,3.082337519999999786e+05,9.366700000000000159e+01
7.114317950000000419e+05,3.082379699999999721e+05,9.029399999999999693e+01
7.114339590000000317e+05,3.082742999999999884e+05,9.165200000000000102e+01
7.114289880000000121e+05,3.082377050000000163e+05,9.034199999999999875e+01
7.114080250000000233e+05,3.082346900000000023e+05,9.329300000000000637e+01
7.114293090000000084e+05,3.082642660000000033e+05,9.159600000000000364e+01
7.114201310000000522e+05,3.082638570000000182e+05,9.334400000000000830e+01
7.114026210000000428e+05,3.082294639999999781e+05,9.397599999999999909e+01
7.114160409999999683e+05,3.082168369999999995e+05,9.103199999999999648e+01
